,timestamp,EndCons
225,2022-08-14,1154455.9005208334
226,2022-08-15,1370213.6046471356
227,2022-08-16,1464809.2198658856
228,2022-08-17,1508272.0784908857
229,2022-08-18,1509285.318001301
230,2022-08-19,1517784.474657552
231,2022-08-20,1270653.6454687498
232,2022-08-21,1157480.9906770836
233,2022-08-22,1439835.943792969
234,2022-08-23,1466709.214761719
235,2022-08-24,1480631.1545013022
236,2022-08-25,1486992.7569492196
237,2022-08-26,1504957.1879596354
238,2022-08-27,1270594.3157500003
239,2022-08-28,1175626.63625
240,2022-08-29,1458074.6541263016
241,2022-08-30,1507435.1156575524
242,2022-08-31,1520489.4196054684
243,2022-09-01,1500662.3176158853
244,2022-09-02,1477312.5502617185
245,2022-09-03,1282025.2484791665
246,2022-09-04,1169502.4190104173
247,2022-09-05,1487475.784990885
248,2022-09-06,1542836.5893658847
249,2022-09-07,1541097.5793450524
250,2022-09-08,1496599.101782552
251,2022-09-09,1489721.9820846363
252,2022-09-10,1277727.6468229168
253,2022-09-11,1171680.0756770829
254,2022-09-12,1463041.5823138019
255,2022-09-13,1517506.7985533867
256,2022-09-14,1566733.0120846352
257,2022-09-15,1566014.1958632814
258,2022-09-16,1523511.8973216142
259,2022-09-17,1318416.2258789057
260,2022-09-18,1217091.4355598956
261,2022-09-19,1480005.8531549473
262,2022-09-20,1521804.958915365
263,2022-09-21,1522338.7713424482
264,2022-09-22,1529038.5155507817
265,2022-09-23,1531529.2360091156
266,2022-09-24,1356261.4200768226
267,2022-09-25,1273038.1494348957
268,2022-09-26,1549140.2604986976
269,2022-09-27,1619986.8512591145
270,2022-09-28,1669578.7334257811
271,2022-09-29,1649840.2385195314
272,2022-09-30,1615565.9420507809
273,2022-10-01,1424317.51914974
274,2022-10-02,1265288.4046119794
275,2022-10-03,1518605.270279948
276,2022-10-04,1537584.4211132813
277,2022-10-05,1524140.5361966148
278,2022-10-06,1507267.057634115
279,2022-10-07,1495272.7213632811
280,2022-10-08,1322649.6175455726
281,2022-10-09,1242253.4817994793
282,2022-10-10,1500122.376977865
283,2022-10-11,1517766.5879986985
284,2022-10-12,1538244.6737903638
285,2022-10-13,1551501.3352903647
286,2022-10-14,1547783.7557903647
287,2022-10-15,1317268.5100143233
288,2022-10-16,1208899.0446119788
289,2022-10-17,1483383.5090403648
290,2022-10-18,1499763.4647070318
291,2022-10-19,1506443.5742903652
292,2022-10-20,1537747.3031757816
293,2022-10-21,1556601.4721653648
294,2022-10-22,1308674.679858073
295,2022-10-23,1232907.9118307289
296,2022-10-24,1568383.659425781
297,2022-10-25,1561205.8649361974
298,2022-10-26,1559061.0312591146
299,2022-10-27,1549589.6593320307
300,2022-10-28,1552788.8460924483
301,2022-10-29,1325927.3275768233
302,2022-10-30,1240728.6941137493
303,2022-10-31,1506888.0141132807
304,2022-11-01,1476602.549753907
305,2022-11-02,1599275.0374309893
306,2022-11-03,1651425.9903059893
307,2022-11-04,1655076.406753906
308,2022-11-05,1468213.2562656251
309,2022-11-06,1392912.3975364582
310,2022-11-07,1637083.7914830733
311,2022-11-08,1682599.658410156
312,2022-11-09,1716443.587149739
313,2022-11-10,1669464.426337239
314,2022-11-11,1672998.9736497395
315,2022-11-12,1481539.1357656252
316,2022-11-13,1405215.210869792
317,2022-11-14,1715500.0594830727
318,2022-11-15,1728035.3665768225
319,2022-11-16,1681145.1171184897
320,2022-11-17,1685631.2293580743
321,2022-11-18,1728351.6265872398
322,2022-11-19,1552033.8649322914
323,2022-11-20,1474981.4978906251
324,2022-11-21,1767453.1054934894
325,2022-11-22,1828533.8300351547
326,2022-11-23,1843237.2415143216
327,2022-11-24,1835043.9846080728
328,2022-11-25,1817969.9340247393
329,2022-11-26,1606675.9226302083
330,2022-11-27,1529298.9948802085
331,2022-11-28,1787218.6518997399
332,2022-11-29,1816229.7984934894
333,2022-11-30,1861674.1119726563
334,2022-12-01,1905678.5184697183
335,2022-12-02,1895715.7831190836
336,2022-12-03,1708882.558146187
337,2022-12-04,1590619.5941493856
338,2022-12-05,1886880.79626373
339,2022-12-06,1940289.0839700308
340,2022-12-07,1969500.7589313749
341,2022-12-08,1922556.781705573
342,2022-12-09,1959587.8332151037
343,2022-12-10,1781924.6884332495
344,2022-12-11,1745272.75362326
345,2022-12-12,2088684.2215064894
346,2022-12-13,2101984.270253729
347,2022-12-14,2023864.2827234787
348,2022-12-15,2001088.4707102391
349,2022-12-16,2008763.2318933867
350,2022-12-17,1847677.4782580307
351,2022-12-18,1738827.5898778748
352,2022-12-19,1919781.4222332926
353,2022-12-20,1883130.1887754377
354,2022-12-21,1823750.6776746043
355,2022-12-22,1736218.4327265527
356,2022-12-23,1641845.5563890096
357,2022-12-24,1460776.1344716772
358,2022-12-25,1357702.5941710107
359,2022-12-26,1412406.486590229
360,2022-12-27,1543402.1222625216
361,2022-12-28,1560741.834931
362,2022-12-29,1540809.8827441465
363,2022-12-30,1534755.496407073
364,2022-12-31,1398079.5513520108
